,0
2101,314.2339
2102,345.3065
2103,306.11713
2104,281.80493
2105,229.37434
2106,157.65915
2107,118.343216
2108,75.83803
2109,47.925022
2110,37.044247
2111,41.92986
2112,53.65633
2113,134.39229
2114,353.25705
2115,414.57025
2116,345.75772
2117,289.89224
2118,299.66452
2119,290.51047
2120,274.44492
2121,272.27817
2122,302.05954
2123,282.33267
2124,273.7392
2125,287.09653
2126,296.21204
2127,303.65247
2128,282.3563
2129,249.90623
2130,176.47324
2131,123.45844
2132,69.5662
2133,50.20379
2134,34.121212
2135,40.06318
2136,60.677563
2137,118.35366
2138,392.3768
2139,400.59662
2140,334.15738
2141,290.29355
2142,295.94675
2143,292.18387
2144,288.12357
2145,312.88397
2146,303.51175
2147,252.30525
2148,241.3555
2149,247.5892
2150,233.42451
2151,258.12064
2152,268.71402
2153,255.92297
2154,213.00438
2155,130.10143
2156,89.56549
2157,46.15948
2158,47.6187
2159,42.36299
2160,41.84096
2161,104.53548
2162,194.95734
2163,235.10628
2164,264.99155
2165,298.11777
2166,304.1658
2167,288.91415
2168,283.98813
2169,242.04048
2170,205.6073
2171,202.88403
2172,198.82936
2173,202.861
2174,200.15196
2175,228.07979
2176,231.7949
2177,207.6451
2178,169.17218
2179,97.85063
2180,71.974754
2181,50.376614
2182,25.441065
2183,21.262405
2184,34.331394
2185,53.253983
2186,78.934296
2187,94.90482
2188,122.063805
2189,158.6858
2190,123.01776
2191,113.89258
2192,104.66873
2193,103.58954
2194,135.46487
2195,143.76245
2196,137.72571
2197,131.95161
2198,129.70514
2199,134.14815
2200,122.33869
2201,76.88582
2202,64.902016
2203,84.369934
2204,39.9611
2205,39.36907
2206,30.660501
2207,29.015348
2208,53.73452
2209,143.79477
2210,393.5888
2211,377.53568
2212,278.0242
2213,135.28035
2214,157.6994
2215,182.09714
2216,229.07285
2217,215.5908
2218,245.10901
2219,240.93997
2220,230.79459
2221,255.23715
2222,264.15042
2223,207.4837
2224,263.4937
2225,250.46259
2226,155.9564
2227,104.50802
2228,92.06207
2229,49.05191
2230,34.209827
2231,35.55187
2232,64.98132
2233,135.87625
2234,388.4293
2235,341.0392
2236,297.60434
2237,257.69623
2238,237.12068
2239,302.4438
2240,263.29752
2241,275.08902
2242,227.65097
2243,228.35818
2244,215.86029
2245,285.37503
2246,251.3267
2247,335.94086
2248,289.64664
2249,244.44812
2250,154.54176
2251,105.385506
2252,74.80094
2253,46.83686
2254,33.02383
2255,39.362568
2256,58.99932
2257,134.57516
2258,373.63098
2259,375.21146
2260,313.22003
2261,297.6448
2262,308.82907
2263,249.95279
2264,252.5322
2265,253.45833
2266,290.0125
2267,263.33835
2268,268.24695
2269,303.08978
2270,279.42062
2271,316.54617
2272,279.41516
2273,230.30771
2274,164.27605
2275,117.14576
2276,70.21051
2277,45.83475
2278,38.054523
2279,42.126186
2280,54.646767
2281,122.55923
2282,356.2053
2283,403.9433
2284,325.29645
2285,234.4772
2286,204.61145
2287,255.6373
2288,295.85986
2289,300.75012
2290,261.47165
2291,255.63786
2292,263.48456
2293,274.2612
2294,384.04398
2295,359.4142
2296,298.92374
2297,247.66824
2298,166.5885
2299,108.66558
2300,76.39175
2301,47.938328
2302,43.40959
2303,33.066532
2304,58.487965
2305,141.62611
2306,349.81937
2307,332.69598
2308,308.80725
2309,285.76086
2310,279.52048
2311,307.71857
